Date,DFM Index,Change,Change (%)
7/6/2017,"3,406.01",83.66,2.52
6/6/2017,"3,322.35",4.85,0.15
5/6/2017,"3,317.50",-24.04,-0.72
4/6/2017,"3,341.54",-10.19,-0.3
1/6/2017,"3,351.73",12.36,0.37
31/05/2017,"3,339.37",-0.9,-0.03
30/05/2017,"3,340.27",22.15,0.67
29/05/2017,"3,318.12",24.52,0.74
28/05/2017,"3,293.60",-33.53,-1.01
25/05/2017,"3,327.13",-24.38,-0.73
24/05/2017,"3,351.51",-12.09,-0.36
23/05/2017,"3,363.60",-26.44,-0.78
22/05/2017,"3,390.04",3.6,0.11
21/05/2017,"3,386.44",8.42,0.25
18/05/2017,"3,378.02",-17.04,-0.5
17/05/2017,"3,395.06",18.31,0.54
16/05/2017,"3,376.75",-1.07,-0.03
15/05/2017,"3,377.82",-37.87,-1.11
14/05/2017,"3,415.69",-4.5,-0.13
11/5/2017,"3,420.19",24.98,0.74
10/5/2017,"3,395.21",-13.23,-0.39
9/5/2017,"3,408.44",16.77,0.49
8/5/2017,"3,391.67",7.62,0.23
7/5/2017,"3,384.05",-35.68,-1.04
4/5/2017,"3,419.73",0.67,0.02
3/5/2017,"3,419.06",-17.57,-0.51
2/5/2017,"3,436.63",-3.95,-0.11
1/5/2017,"3,440.58",25.65,0.75
30/04/2017,"3,414.93",-1.78,-0.05
27/04/2017,"3,416.71",-22.12,-0.64
26/04/2017,"3,438.83",5.09,0.15
25/04/2017,"3,433.74",2.86,0.08
24/04/2017,"3,430.88",-38.94,-1.12
20/04/2017,"3,469.82",-35.88,-1.02
19/04/2017,"3,505.70",9.88,0.28
18/04/2017,"3,495.82",31.98,0.92
17/04/2017,"3,463.84",10.62,0.31
16/04/2017,"3,453.22",-56.12,-1.6
13/04/2017,"3,509.34",-31.26,-0.88
12/4/2017,"3,540.60",5.38,0.15
11/4/2017,"3,535.22",-1.29,-0.04
10/4/2017,"3,536.51",-18.45,-0.52
9/4/2017,"3,554.96",-11.39,-0.32
6/4/2017,"3,566.35",-6.9,-0.19
5/4/2017,"3,573.25",13.56,0.38
4/4/2017,"3,559.69",20.36,0.58
3/4/2017,"3,539.33",47.87,1.37
2/4/2017,"3,491.46",11.03,0.32
30/03/2017,"3,480.43",32.99,0.96
29/03/2017,"3,447.44",0.47,0.01
28/03/2017,"3,446.97",-7.42,-0.21
27/03/2017,"3,454.39",-14.09,-0.41
26/03/2017,"3,468.48",7.05,0.2
23/03/2017,"3,461.43",-13.3,-0.38
22/03/2017,"3,474.73",-20.14,-0.58
21/03/2017,"3,494.87",17.38,0.5
20/03/2017,"3,477.49",-15.62,-0.45
19/03/2017,"3,493.11",-28.22,-0.8
16/03/2017,"3,521.33",42.52,1.22
15/03/2017,"3,478.81",10.23,0.29
14/03/2017,"3,468.58",-32.6,-0.93
13/03/2017,"3,501.18",20.26,0.58
12/3/2017,"3,480.92",-39.25,-1.12
9/3/2017,"3,520.17",-10.42,-0.3
8/3/2017,"3,530.59",28.23,0.81
7/3/2017,"3,502.36",-54.46,-1.53
6/3/2017,"3,556.82",13.49,0.38
5/3/2017,"3,543.33",-40.33,-1.13
